FacilityName,Hours,TAT,Footfalls
Bliss Medical Centre Machakos,2am,0.0,0.0
Bliss Medical Centre Machakos,3am,0.0,0.0
Bliss Medical Centre Machakos,4am,0.0,0.0
Bliss Medical Centre Machakos,5am,0.0,0.0
Bliss Medical Centre Machakos,6am,0.0,0.0
Bliss Medical Centre Machakos,7am,0.0,0.0
Bliss Medical Centre Machakos,8am,20.05,20.0
Bliss Medical Centre Machakos,9am,37.83,76.0
Bliss Medical Centre Machakos,10am,53.92,76.0
Bliss Medical Centre Machakos,11am,63.04,113.0
Bliss Medical Centre Machakos,12pm,80.03,144.0
Bliss Medical Centre Machakos,1pm,76.29,151.0
Bliss Medical Centre Machakos,2pm,81.88,106.0
Bliss Medical Centre Machakos,3pm,106.08,127.0
Bliss Medical Centre Machakos,4pm,104.39,127.0
Bliss Medical Centre Machakos,5pm,86.02,122.0
Bliss Medical Centre Machakos,6pm,65.74,97.0
Bliss Medical Centre Machakos,7pm,49.77,48.0
Bliss Medical Centre Machakos,8pm,116.88,8.0
Bliss Medical Centre Machakos,9pm,0.0,0.0
Bliss Medical Centre Machakos,10pm,0.0,0.0
Bliss Medical Centre Machakos,11pm,0.0,0.0
Bliss Medical Centre Kakamega,12am,0.0,0.0
Bliss Medical Centre Kakamega,1am,0.0,0.0
Bliss Medical Centre Kakamega,2am,0.0,0.0
Bliss Medical Centre Kakamega,3am,0.0,0.0
Bliss Medical Centre Kakamega,4am,0.0,0.0
Bliss Medical Centre Kakamega,5am,0.0,0.0
Bliss Medical Centre Kakamega,6am,0.0,0.0
Bliss Medical Centre Kakamega,7am,0.0,0.0
Bliss Medical Centre Kakamega,8am,18.27,11.0
Bliss Medical Centre Kakamega,9am,37.81,85.0
Bliss Medical Centre Kakamega,10am,54.1,174.0
Bliss Medical Centre Kakamega,11am,60.61,233.0
Bliss Medical Centre Kakamega,12pm,67.35,314.0
Bliss Medical Centre Kakamega,1pm,70.97,280.0
Bliss Medical Centre Kakamega,2pm,80.07,250.0
Bliss Medical Centre Kakamega,3pm,72.19,251.0
Bliss Medical Centre Kakamega,4pm,78.29,224.0
Bliss Medical Centre Kakamega,5pm,68.91,212.0
Bliss Medical Centre Kakamega,6pm,70.02,168.0
Bliss Medical Centre Kakamega,7pm,84.59,27.0
Bliss Medical Centre Kakamega,8pm,0.0,0.0
Bliss Medical Centre Kakamega,9pm,0.0,0.0
Bliss Medical Centre Kakamega,10pm,0.0,0.0
Bliss Medical Centre Kakamega,11pm,0.0,0.0
Bliss Medical Centre Embu,12am,0.0,0.0
Bliss Medical Centre Embu,1am,0.0,0.0
Bliss Medical Centre Embu,2am,0.0,0.0
Bliss Medical Centre Embu,3am,0.0,0.0
Bliss Medical Centre Embu,4am,0.0,0.0
Bliss Medical Centre Embu,5am,0.0,0.0
Bliss Medical Centre Embu,6am,0.0,0.0
Bliss Medical Centre Embu,7am,0.0,0.0
Bliss Medical Centre Embu,8am,21.56,9.0
Bliss Medical Centre Embu,9am,27.54,41.0
Bliss Medical Centre Embu,10am,41.8,93.0
Bliss Medical Centre Embu,11am,59.54,98.0
Bliss Medical Centre Embu,12pm,71.69,156.0
Bliss Medical Centre Embu,1pm,81.78,143.0
Bliss Medical Centre Embu,2pm,94.42,175.0
Bliss Medical Centre Embu,3pm,101.99,147.0
Bliss Medical Centre Embu,4pm,105.26,164.0
Bliss Medical Centre Embu,5pm,95.68,170.0
Bliss Medical Centre Embu,6pm,94.35,110.0
Bliss Medical Centre Embu,7pm,86.27,33.0
Bliss Medical Centre Embu,8pm,80.08,12.0
Bliss Medical Centre Embu,9pm,0.0,0.0
Bliss Medical Centre Embu,10pm,0.0,0.0
Bliss Medical Centre Embu,11pm,0.0,0.0
Bliss Medical Centre Muranga,12am,8.0,1.0
Bliss Medical Centre Muranga,1am,41.0,3.0
Bliss Medical Centre Muranga,2am,45.5,2.0
Bliss Medical Centre Muranga,3am,56.33,3.0
Bliss Medical Centre Muranga,4am,25.0,1.0
Bliss Medical Centre Muranga,5am,48.0,2.0
Bliss Medical Centre Muranga,6am,0.0,0.0
Bliss Medical Centre Muranga,7am,30.0,2.0
